Rank	Word	Count	Frequency
440	below	50	0.000231
441	close	49	0.000226
442	run	49	0.000226
443	slowly	49	0.000226
444	craft	49	0.000226
445	took	49	0.000226
446	Pequod’s	49	0.000226
447	Whale’s	48	0.000221
448	coming	48	0.000221
449	sharks	48	0.000221
450	New	48	0.000221
451	bows	48	0.000221
452	English	47	0.000217
453	All	47	0.000217
454	waves	47	0.000217
455	mighty	47	0.000217
456	form	47	0.000217
457	forward	47	0.000217
458	taking	47	0.000217
459	common	47	0.000217
460	kept	47	0.000217
461	savage	47	0.000217
462	several	47	0.000217
463	means	47	0.000217
464	view	46	0.000212
465	stern	46	0.000212
466	story	46	0.000212
467	else	46	0.000212
468	sailors	46	0.000212
469	got	46	0.000212
470	next	46	0.000212
471	touching	45	0.000208
472	vessel	45	0.000208
473	lost	45	0.000208
474	told	45	0.000208
475	voice	45	0.000208
476	speak	45	0.000208
477	green	45	0.000208
478	sat	45	0.000208
479	Yet	45	0.000208
480	suddenly	45	0.000208
481	Though	45	0.000208
482	fact	45	0.000208
483	broken	45	0.000208
484	fast	45	0.000208
485	spout	45	0.000208
486	use	44	0.000203
487	whatever	44	0.000203
488	whom	44	0.000203
489	bones	44	0.000203
490	teeth	44	0.000203
491	works	44	0.000203
492	wide	44	0.000203
493	struck	44	0.000203
494	especially	44	0.000203
495	sleep	44	0.000203
496	sailor	44	0.000203
497	room	44	0.000203
498	mark	44	0.000203
499	parts	43	0.000198
500	somehow	43	0.000198
501	noble	43	0.000198
502	chance	43	0.000198
503	cut	43	0.000198
504	caught	43	0.000198
505	sure	43	0.000198
506	knew	43	0.000198
507	ten	43	0.000198
508	grand	43	0.000198
509	rolled	43	0.000198
510	says	43	0.000198
511	mine	43	0.000198
512	devil	42	0.000194
513	making	42	0.000194
514	Lord	42	0.000194
515	straight	42	0.000194
516	nigh	42	0.000194
517	anything	42	0.000194
518	seamen	42	0.000194
519	’em	42	0.000194
520	heads	42	0.000194
521	stranger	42	0.000194
522	running	42	0.000194
523	sudden	42	0.000194
524	mere	41	0.000189
525	Not	41	0.000189
526	lance	41	0.000189
527	rope	41	0.000189
528	hours	41	0.000189
529	quite	41	0.000189
530	passed	41	0.000189
531	door	41	0.000189
532	felt	41	0.000189
533	sound	41	0.000189
534	wondrous	41	0.000189
535	“Aye	41	0.000189
536	surface	41	0.000189
537	queer	40	0.000185
538	earth	40	0.000185
539	fellow	40	0.000185
540	wake	40	0.000185
541	blue	40	0.000185
542	purpose	40	0.000185
543	watch	40	0.000185
544	help	40	0.000185
545	people	40	0.000185
546	saying	40	0.000185
547	concerning	40	0.000185
548	course	40	0.000185
549	brow	40	0.000185
550	alone	39	0.000180
551	calm	39	0.000180
552	plainly	39	0.000180
553	distance	39	0.000180
554	monster	39	0.000180
555	new	39	0.000180
556	mortal	39	0.000180
557	cook	39	0.000180
558	hour	39	0.000180
559	makes	39	0.000180
560	clear	38	0.000175
561	brought	38	0.000175
562	art	38	0.000175
563	We	38	0.000175
564	bow	38	0.000175
565	object	38	0.000175
566	mass	38	0.000175
567	single	38	0.000175
568	various	38	0.000175
569	sailed	38	0.000175
570	sharp	38	0.000175
571	darted	38	0.000175
572	gave	38	0.000175
573	creature	38	0.000175
574	mates	38	0.000175
575	boat’s	38	0.000175
576	others	37	0.000171
577	Here	37	0.000171
578	fixed	37	0.000171
579	placed	37	0.000171
580	around	37	0.000171
581	manner	37	0.000171
582	mean	37	0.000171
583	famous	37	0.000171
584	five	37	0.000171
585	held	37	0.000171
586	cry	37	0.000171
587	power	37	0.000171
588	aspect	37	0.000171
589	given	37	0.000171
590	leaving	36	0.000166
591	Greenland	36	0.000166
592	either	36	0.000166
593	fell	36	0.000166
594	previous	36	0.000166
595	On	36	0.000166
596	plain	36	0.000166
597	bone	36	0.000166
598	unknown	36	0.000166
599	whaleman	36	0.000166
600	sails	36	0.000166
601	gentlemen	36	0.000166
602	book	35	0.000161
